		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 292.953125	M = 150000	N = 8	m = 9	n = 1200000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100101000  464  502  460  473  492  480  467  496 986.458305 0.000000 FAILURE  77
100110000  677  710  716  699  653  692  646  729 4479.975486 0.000000 FAILURE  78
100111000  424  416  427  419  433  438  428  365 459.856465 0.000000 FAILURE  79
101000000  550  522  537  543  591  538  598  561 1957.343694 0.000000 FAILURE  80
101000100  559  560  553  565  591  548  545  577 2054.149634 0.000000 FAILURE  81
101001000  554  496  550  546  559  543  570  534 1792.260937 0.000000 FAILURE  82
101001100  524  600  567  578  510  573  548  563 2003.675770 0.000000 FAILURE  83
101010000  511  463  504  466  478  493  512  501 1117.324871 0.000000 FAILURE  84
101010100  500  484  490  511  498  494  496  527 1215.251101 0.000000 FAILURE  85
101011000  179  179  174  223  200  208  172  169 320.805181 0.000000 FAILURE  86
101011100  178  208  168  190  207  189  175  203 306.602846 0.000000 FAILURE  87
101100000  357  362  371  378  361  372  382  375 168.526217 0.000000 FAILURE  88
101100100  392  375  342  352  385  398  356  332 167.493749 0.000000 FAILURE  89
101101000   77   66   74   56   74   73   74   61 1413.259078 0.000000 FAILURE  90
101101100   75   79   77   70   78   80   80   65 1336.277337 0.000000 FAILURE  91
101110000  343  322  305  318  304  301  314  312 18.053244 0.020831 SUCCESS  92
101110100  296  306  277  290  252  287  302  324 11.301602 0.185189 SUCCESS  93
101111000    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  94
101111100    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE  95
110000000  497  480  493  533  455  456  467  477 1028.352800 0.000000 FAILURE  96
110000010  485  509  491  524  481  491  482  498 1159.896681 0.000000 FAILURE  97
110000100  521  483  508  475  478  476  470  493 1082.547983 0.000000 FAILURE  98
110001000  492  475  458  519  494  487  489  497 1091.796833 0.000000 FAILURE  99
110001010  309  286  314  295  301  340  310  317 13.769242 0.087982 SUCCESS 100
110010000  488  478  448  453  494  500  511  476 1010.724940 0.000000 FAILURE 101
110010010  503  520  452  501  509  464  531  472 1161.224723 0.000000 FAILURE 102
110010100  251  293  256  237  275  260  246  266 37.408540 0.000010 FAILURE 103
110011000  454  481  492  501  460  464  472  510 990.426653 0.000000 FAILURE 104
